City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,mokhotlong,-29.2894,29.0675,13.56,42,0,1.92,LS,1703128773
210,villa gesell,-37.2639,-56.973,18.36,86,100,5.18,AR,1703128494
211,amungan,15.3652,119.9582,29.67,62,100,1.03,PH,1703128773
212,muroto-misakicho,33.2833,134.15,6.65,51,52,9.15,JP,1703128773
213,callao,-12.0667,-77.15,23.18,73,100,6.17,PE,1703128773
214,koya,34.2129,135.6224,0.55,74,92,7.0,JP,1703128773
215,lucea,18.451,-78.1736,25.48,66,0,7.62,JM,1703128773
216,mandera,3.9366,41.867,27.66,59,71,3.33,KE,1703128773
217,skovorodino,53.9833,123.9167,-19.72,82,100,1.39,RU,1703128774
218,atasu,48.6814,71.6433,-5.12,95,100,9.01,KZ,1703128774
219,nova xavantina,-14.6667,-52.35,24.73,64,100,1.07,BR,1703128774
220,vadso,70.0744,29.7487,-6.91,73,20,3.6,NO,1703128774
221,wailua homesteads,22.0669,-159.378,19.44,88,100,9.26,US,1703128774
222,lompoc,34.6391,-120.4579,15.08,89,100,3.6,US,1703128774
223,karachi,24.9056,67.0822,10.9,43,1,0.0,PK,1703128167
224,bay city,43.5945,-83.8889,0.53,84,100,2.06,US,1703128567
225,kidal,18.4411,1.4078,11.87,30,0,5.03,ML,1703128774
226,cururupu,-1.8283,-44.8683,25.63,88,100,2.22,BR,1703128775
227,mount isa,-20.7333,139.5,36.87,22,62,5.14,AU,1703128775
228,leninskiy,54.2781,37.4558,2.69,98,100,7.59,RU,1703128775
229,pekanbaru,0.5333,101.45,27.18,89,40,2.06,ID,1703128775
230,starozhilovo,54.2254,39.916,1.19,93,100,8.68,RU,1703128775
231,usinsk,65.9939,57.5281,-3.66,95,100,8.0,RU,1703128775
232,tazovsky,67.4667,78.7,-13.28,91,100,9.27,RU,1703128775
233,qaqortoq,60.7167,-46.0333,-6.08,87,100,2.11,GL,1703128775
234,colonia,50.9333,6.95,9.47,87,100,5.66,DE,1703128565
235,puerto armuelles,8.2833,-82.8667,27.27,82,96,1.79,PA,1703128776
236,pangody,65.85,74.4859,-9.5,91,100,9.25,RU,1703128776
237,ndende,-2.4008,11.3581,22.57,99,98,0.29,GA,1703128644
238,santa helena de goias,-17.8136,-50.5969,22.24,83,73,1.33,BR,1703128763
239,manokwari,-0.8667,134.0833,28.35,75,91,1.56,ID,1703128776
240,hithadhoo,-0.6,73.0833,28.5,75,97,3.43,MV,1703128776
241,vershino-darasunskiy,52.35,115.5167,-21.16,69,84,1.73,RU,1703128776
242,puerto asis,0.5133,-76.5007,24.9,85,98,1.3,CO,1703128776
243,saint-pierre,-21.3393,55.4781,28.65,83,20,1.54,RE,1703128776
244,sabi,13.2333,-14.2,19.83,13,100,4.05,GM,1703128777
245,waounde,15.2637,-12.8682,18.92,18,100,6.16,SN,1703128777
246,bedele,8.456,36.353,12.68,75,43,0.68,ET,1703128777
247,humberto de campos,-2.5983,-43.4611,25.94,87,82,3.02,BR,1703128777
248,atafu village,-8.5421,-172.5159,29.35,72,49,3.46,TK,1703128777
249,port-vila,-17.7338,168.3219,27.78,94,75,2.06,VU,1703128777
250,hammerfest,70.6634,23.6821,-2.75,68,94,1.03,NO,1703128777
251,dzhalagash,45.0833,64.6667,-1.83,88,42,3.8,KZ,1703128777
252,santa ana de yacuma,-13.75,-65.4333,25.51,88,100,2.27,BO,1703128778
253,ishigaki,24.3448,124.1572,17.07,67,75,10.8,JP,1703128778
254,paracuru,-3.41,-39.0306,28.39,86,75,4.6,BR,1703128778
255,howard springs,-12.497,131.047,34.43,72,100,2.53,AU,1703128778
256,hami,42.8,93.45,-10.58,57,47,2.01,CN,1703128778
257,ulladulla,-35.35,150.4667,20.98,75,98,7.28,AU,1703128778
258,navrongo,10.8956,-1.0921,20.46,14,0,4.11,GH,1703128778
259,kone,-21.0595,164.8658,32.03,50,0,3.03,NC,1703128778
260,ta`u,-14.2336,-169.5144,27.07,84,100,3.34,AS,1703128779
261,yarkovo,57.4028,67.0786,-3.43,95,75,4.24,RU,1703128779
262,chibougamau,49.9168,-74.3659,-11.21,85,100,3.6,CA,1703128779
263,kavaratti,10.5669,72.642,28.83,70,100,2.48,IN,1703128779
264,smara,26.7384,-11.6719,11.44,86,0,2.56,EH,1703128779
265,wynyard,-41.0,145.7167,16.93,59,42,3.47,AU,1703128779
266,popondetta,-8.7537,148.2534,33.13,52,100,3.27,PG,1703128779
267,reggane,26.7158,0.1714,11.22,44,1,4.43,DZ,1703128779
268,ventersburg,-28.0856,27.1381,20.18,41,0,3.49,ZA,1703128779
269,al qadarif,14.0349,35.3834,24.13,33,0,3.48,SD,1703128780
270,kapa'a,22.0752,-159.319,20.18,88,100,9.26,US,1703128780
271,kirensk,57.7853,108.1119,-31.69,96,17,0.89,RU,1703128780
272,lubango,-14.9172,13.4925,17.57,83,100,1.35,AO,1703128780
273,ust-nera,64.5667,143.2,-35.7,98,93,1.59,RU,1703128780
274,labuan bajo,-8.4964,119.8877,29.39,73,39,2.85,ID,1703128780
275,hovd,48.0056,91.6419,-19.03,86,100,0.91,MN,1703128780
276,richards bay,-28.783,32.0377,23.47,90,85,1.37,ZA,1703128780
277,alo,7.4178,6.7371,24.45,33,19,0.57,NG,1703128780
278,bontang,0.1333,117.5,29.13,73,82,2.21,ID,1703128781
279,berdigestyakh,62.0989,126.6992,-21.08,95,100,2.65,RU,1703128781
280,kulhudhuffushi,6.6221,73.07,28.1,76,100,3.68,MV,1703128781
281,bandarbeyla,9.4942,50.8122,24.32,84,48,8.16,SO,1703128781
282,nicosia,35.1667,33.3667,14.05,76,0,2.57,CY,1703128582
283,holualoa,19.6228,-155.9522,23.91,82,40,0.0,US,1703128498
284,damara,4.9608,18.7035,23.93,68,28,1.17,CF,1703128781
285,kingston,17.997,-76.7936,25.53,74,20,1.03,JM,1703128532
286,pyhajarvi,67.0701,27.2176,-13.87,100,100,0.34,FI,1703128781
287,uturoa,-16.7333,-151.4333,27.34,79,99,2.92,PF,1703128782
288,chulakkurgan,43.765,69.1814,-5.97,95,47,1.49,KZ,1703128782
289,la sarre,48.8002,-79.1996,-12.71,91,38,2.09,CA,1703128707
290,naze,28.3667,129.4833,11.51,70,98,8.8,JP,1703128782
291,kataba,13.9833,44.3833,11.63,52,0,0.17,YE,1703128782
292,ghanzi,-21.5667,21.7833,24.4,61,100,2.95,BW,1703128782
293,puerto el triunfo,13.2833,-88.55,23.59,59,11,2.62,SV,1703128768
294,ad dawadimi,24.5077,44.3924,8.64,37,1,5.47,SA,1703128782
295,guayaramerin,-10.8368,-65.3614,24.4,94,96,0.79,BO,1703128782
296,coari,-4.085,-63.1414,23.62,99,94,1.51,BR,1703128782
297,st. john's,47.5649,-52.7093,9.75,88,75,8.75,CA,1703128633
298,fernie,49.5,-115.0687,9.05,100,100,1.79,CA,1703128783
299,barcelos,41.5388,-8.6151,7.69,91,2,2.57,PT,1703128783
300,laurel,39.0993,-76.8483,3.7,69,0,1.54,US,1703128591
301,iskateley,67.6803,53.1512,-8.88,97,81,2.68,RU,1703128783
302,thulamahashi,-24.7246,31.1994,21.28,78,3,1.49,ZA,1703128783
303,tofol,5.3248,163.0078,27.99,77,10,8.15,FM,1703128783
304,mundemba,4.9479,8.8724,24.59,90,86,0.94,CM,1703128783
305,broome,42.2506,-75.833,0.3,91,100,2.06,US,1703128784
306,gumdag,39.2061,54.5906,3.13,56,0,8.14,TM,1703128784
307,newman,37.3138,-121.0208,14.19,65,100,1.34,US,1703128784
308,sosnovka,56.255,51.2842,0.66,98,100,4.38,RU,1703128784
309,buka,40.8108,69.1986,1.07,75,0,1.91,UZ,1703128784
310,nayoro,44.3506,142.4578,-4.51,86,83,5.53,JP,1703128784
311,taroa,8.7058,171.2275,27.44,81,100,10.03,MH,1703128784
312,fort bragg,35.139,-79.006,0.75,80,0,1.54,US,1703128784
313,rzhyshchiv,49.9689,31.0463,4.13,80,100,4.28,UA,1703128784
314,san antonio de pale,-1.4014,5.6325,26.55,80,97,1.77,GQ,1703128696
315,sallanches,45.9442,6.6316,3.75,92,93,1.71,FR,1703128785
316,qarazhal,48.0078,70.7903,-5.0,92,100,8.33,KZ,1703128785
317,haiku-pauwela,20.9219,-156.3051,22.25,85,75,7.2,US,1703128785
318,udachny,66.4167,112.4,-26.51,74,11,3.64,RU,1703128785
319,tazacorte,28.629,-17.9293,19.54,72,100,6.17,ES,1703128785
320,vladikavkaz,43.0367,44.6678,-0.9,93,0,4.0,RU,1703128785
321,kapuskasing,49.4169,-82.4331,-12.95,85,100,3.6,CA,1703128785
322,port sudan,19.6175,37.2164,25.05,74,39,0.23,SD,1703128786
323,saint-denis,48.9167,2.3333,9.77,95,100,6.17,FR,1703128786
324,bangjun,39.9911,117.2628,-14.0,62,22,4.72,CN,1703128786
325,ribeira brava,32.65,-17.0667,18.35,55,50,4.67,PT,1703128786
326,elk,53.8282,22.3647,1.95,83,94,6.57,PL,1703128786
327,guaruja,-23.9931,-46.2564,23.83,26,97,4.51,BR,1703128786
328,sinop,41.7711,34.8709,5.74,63,20,4.73,TR,1703128786
329,colonia aurora,-27.4743,-54.525,20.87,97,8,0.99,AR,1703128786
330,angra do heroismo,38.65,-27.2167,15.62,80,100,1.79,PT,1703128786
331,lewistown,40.5992,-77.5714,0.36,86,40,0.0,US,1703128787
332,tsiombe,-25.3,45.4833,23.68,88,2,1.89,MG,1703128787
333,villa emilio carranza,19.9667,-96.6,20.0,79,42,3.24,MX,1703128787
334,trondheim,63.4305,10.3951,0.05,75,100,2.69,NO,1703128513
335,trujillo,-8.116,-79.03,19.98,88,99,3.09,PE,1703128090
336,santa isabel,-23.3156,-46.2214,21.61,94,99,1.75,BR,1703128787
337,veraval,20.9,70.3667,22.53,35,100,4.01,IN,1703128787
338,belev,53.8119,36.1319,1.12,99,100,6.61,RU,1703128787
339,coahuayana de hidalgo,18.7,-103.6583,23.94,89,36,0.47,MX,1703128787
340,queenstown,-31.8976,26.8753,11.83,94,0,1.42,ZA,1703128788
341,kill devil hills,36.0307,-75.676,5.55,60,0,3.6,US,1703128788
342,urengoy,65.9667,78.3667,-11.41,92,100,9.2,RU,1703128788
343,crane,31.3974,-102.3501,13.35,83,100,7.95,US,1703128788
344,nsanje,-16.92,35.262,24.78,79,100,1.64,MW,1703128788
345,niquero,20.0431,-77.5828,23.03,76,0,10.1,CU,1703128788
346,el-tor,28.2364,33.6254,18.63,55,98,2.01,EG,1703128788
347,berezovyy,51.6667,135.7,-20.15,76,55,0.66,RU,1703128788
348,alta,69.9689,23.2717,-9.41,73,74,2.57,NO,1703128789
349,shetpe,44.1667,52.1167,2.52,69,0,9.1,KZ,1703128789
350,la passe,45.5549,-0.8967,10.55,84,60,6.8,FR,1703128789
351,vilyuchinsk,52.9306,158.4028,-11.85,65,0,2.83,RU,1703128789
352,mundri,-6.9558,111.71,31.17,47,16,1.75,ID,1703128789
353,christchurch,-43.5333,172.6333,21.41,60,75,5.14,NZ,1703128578
354,burumburum,11.3911,8.7234,18.14,36,35,1.61,NG,1703128789
355,bealanana,-14.55,48.7333,19.09,92,9,0.04,MG,1703128789
356,castillos,-34.1667,-53.8333,19.1,94,100,5.54,UY,1703128789
357,port douglas,-16.4833,145.4667,27.22,73,100,2.46,AU,1703128790
358,kruisfontein,-34.0033,24.7314,13.82,92,0,2.47,ZA,1703128790
359,mbandaka,0.0487,18.2603,22.29,95,92,0.21,CD,1703128790
360,cannonvale,-20.2833,148.7,28.66,64,10,3.78,AU,1703128790
361,pangoa,-12.1167,-73.0,21.52,99,100,0.84,PE,1703128790
